Sicil_ID,Hire Date,Termination Date,Gender,Seniority,Age Range,Education Level,Title,City
M02075,44406,,Female,F,32-38,Associate Degree,ZZ,rize
M02076,44520,45363,Female,G,32-38,Primary School,XX,kirþehir
M02077,45267,,Female,D,46-52,Associate Degree,RR,yalova
M02078,42633,44134,Male,E,46-52,Associate Degree,ZZ,batman
M02079,44541,,Female,C,52+,Primary School,YY,elazið
M02080,42938,43031,Male,F,32-38,High School,YY,kirþehir
M02081,42296,,Female,G,18-24,Bachelor's Degree,XX,bilecik
M02082,42122,44605,Male,D,39-45,High School,YY,aydin
M02083,43764,,Male,F,32-38,Doctorate,ZZ,kirþehir
M02084,42267,43904,Male,E,18-24,Bachelor's Degree,RR,kirklareli
M02085,42865,44613,Female,D,46-52,Primary School,KK,trabzon
M02086,43480,44075,Male,E,25-31,Master's Degree,KK,sinop
M02087,43625,,Male,B,52+,Bachelor's Degree,ZZ,diyarbakir
M02088,44758,,Male,G,32-38,Master's Degree,TT,tunceli
M02089,42331,45004,Female,C,18-24,High School,XX,zonguldak
M02090,43601,44173,Male,B,25-31,Primary School,TT,amasya
M02091,42866,44983,Male,D,52+,High School,PP,istanbul
M02092,44278,,Male,F,39-45,Primary School,ZZ,sakarya
M02093,44936,,Female,F,39-45,Associate Degree,ZZ,aydin
M02094,42372,,Female,D,32-38,Master's Degree,PP,kahramanmaraþ
M02095,44511,,Male,D,18-24,Primary School,TT,bartin
M02096,43330,,Male,A,18-24,Associate Degree,RR,bursa
M02097,43133,44009,Male,A,25-31,Primary School,ZZ,burdur
M02098,45340,,Male,E,52+,Doctorate,PP,kayseri
M02099,44060,44873,Male,C,52+,High School,XX,karaman
M02100,43698,,Female,A,25-31,Master's Degree,YY,adana
M02101,42698,,Male,E,39-45,Primary School,XX,sinop
M02102,45086,,Female,F,52+,Doctorate,RR,þirnak
M02103,43874,,Female,C,32-38,High School,TT,artvin
M02104,42263,42879,Female,F,46-52,Master's Degree,RR,tokat
M02105,43786,,Female,F,25-31,High School,PP,bursa
M02106,44247,44997,Male,B,39-45,High School,TT,osmaniye
M02107,42160,43016,Male,E,46-52,Master's Degree,YY,ankara
M02108,43730,,Male,E,25-31,Master's Degree,XX,tokat
M02109,44571,,Female,E,32-38,Master's Degree,RR,elazið
M02110,43292,44712,Female,D,52+,Bachelor's Degree,YY,amasya
M02111,45605,,Male,D,32-38,High School,PP,elazið
M02112,45531,,Female,E,52+,Master's Degree,RR,kocaeli
M02113,42359,44255,Female,D,52+,Master's Degree,KK,muðla
M02114,42792,45048,Female,C,32-38,Doctorate,KK,izmir
M02115,44275,,Female,G,52+,Associate Degree,KK,balikesir
M02116,43330,43764,Female,G,52+,Doctorate,YY,burdur
M02117,45553,,Female,D,25-31,Associate Degree,YY,diyarbakir
M02118,43888,,Male,B,39-45,Primary School,RR,yalova
M02119,42531,44881,Female,G,25-31,Associate Degree,YY,hatay
M02120,43981,44483,Female,D,18-24,Associate Degree,ZZ,afyonkarahisar
M02121,42571,45647,Male,A,25-31,High School,XX,gaziantep
M02122,42918,,Female,B,32-38,Master's Degree,RR,mardin
M02123,45465,,Male,A,39-45,Doctorate,RR,niðde
M02124,45203,,Male,D,18-24,High School,RR,adiyaman
M02125,44696,,Female,E,39-45,Primary School,TT,afyonkarahisar
M02126,45504,,Male,A,39-45,Associate Degree,RR,kirþehir
M02127,44977,,Female,E,52+,Bachelor's Degree,YY,düzce
M02128,43980,45053,Female,F,25-31,Master's Degree,YY,zonguldak
M02129,44711,,Female,A,18-24,Primary School,RR,iðdir
M02130,45259,,Female,G,32-38,Bachelor's Degree,RR,kastamonu
M02131,43414,44738,Male,G,32-38,High School,XX,diyarbakir
M02132,44084,,Male,G,39-45,High School,XX,kilis
M02133,42415,43327,Male,C,32-38,Master's Degree,ZZ,ordu
M02134,43995,,Female,D,39-45,Master's Degree,KK,kars
M02135,43624,,Female,E,25-31,High School,ZZ,ankara
M02136,42382,42546,Female,B,32-38,High School,RR,malatya
M02137,42906,44446,Male,B,52+,Doctorate,ZZ,erzurum
M02138,42229,44979,Male,F,39-45,Bachelor's Degree,RR,kirklareli
M02139,42519,44208,Male,G,18-24,Bachelor's Degree,TT,aksaray
M02140,42190,,Male,B,25-31,Master's Degree,XX,tokat
M02141,45234,,Female,A,46-52,Master's Degree,PP,ardahan
M02142,42817,45202,Male,A,32-38,Associate Degree,KK,karaman
M02143,44858,,Female,B,46-52,Bachelor's Degree,TT,erzurum
M02144,43241,44641,Male,D,25-31,Bachelor's Degree,YY,bayburt
M02145,42495,43639,Female,D,39-45,Doctorate,TT,malatya
M02146,43536,45454,Male,D,39-45,Associate Degree,ZZ,bolu
M02147,44428,,Female,F,52+,High School,KK,tekirdað
M02148,43983,,Male,E,25-31,Doctorate,ZZ,erzincan
M02149,43195,43987,Female,C,52+,Associate Degree,TT,ardahan
M02150,45492,,Female,E,39-45,Doctorate,ZZ,diyarbakir
M02151,43831,44814,Male,D,52+,Bachelor's Degree,TT,kütahya
M02152,45520,,Male,D,25-31,Bachelor's Degree,KK,rize
M02153,44257,,Female,F,46-52,Doctorate,KK,kilis
M02154,42992,,Male,A,52+,Master's Degree,KK,adiyaman
M02155,42052,42851,Male,E,18-24,Master's Degree,XX,bingöl
M02156,42781,,Male,D,46-52,Doctorate,ZZ,kocaeli
M02157,43421,44225,Female,G,52+,Primary School,RR,sakarya
M02158,44989,,Male,D,46-52,Master's Degree,TT,balikesir
M02159,43648,44670,Female,B,52+,Master's Degree,ZZ,hatay
M02160,43577,43908,Female,B,25-31,Primary School,RR,ankara
M02161,44576,,Female,G,25-31,Doctorate,TT,kayseri
M02162,42435,44424,Male,G,32-38,Associate Degree,KK,yozgat
M02163,44655,45457,Male,B,39-45,Associate Degree,KK,istanbul
M02164,42882,44860,Female,E,39-45,Doctorate,XX,batman
M02165,45537,,Male,E,46-52,Associate Degree,ZZ,samsun
M02166,42384,43042,Female,B,46-52,Primary School,TT,burdur
M02167,43530,,Female,B,39-45,Bachelor's Degree,KK,kars
M02168,42591,44056,Male,A,25-31,Master's Degree,RR,kayseri
M02169,42569,44224,Female,A,39-45,Master's Degree,YY,aksaray
M02170,44735,,Female,B,18-24,Associate Degree,RR,tunceli
M02171,45327,,Female,A,39-45,Doctorate,XX,isparta
M02172,45585,,Female,D,32-38,Doctorate,PP,malatya
M02173,43506,44074,Female,C,18-24,Associate Degree,TT,giresun
M02174,43783,44172,Female,F,52+,Master's Degree,ZZ,mardin
M02175,44691,,Female,A,25-31,Doctorate,ZZ,afyonkarahisar
M02176,43484,45081,Female,C,32-38,High School,PP,aydin
M02177,44136,,Female,A,32-38,Master's Degree,PP,trabzon
M02178,44167,,Female,E,18-24,Associate Degree,ZZ,kütahya
M02179,45095,,Female,A,32-38,Doctorate,RR,isparta
M02180,44603,,Female,C,32-38,Bachelor's Degree,ZZ,mersin
M02181,42414,43529,Female,E,39-45,Bachelor's Degree,XX,karabük
M02182,45469,,Female,G,25-31,Primary School,XX,diyarbakir
M02183,44558,,Female,A,32-38,Master's Degree,PP,kars
M02184,45484,,Male,D,52+,Bachelor's Degree,YY,adana
M02185,43408,,Male,G,32-38,Primary School,ZZ,rize
M02186,42958,44128,Female,C,39-45,Doctorate,XX,afyonkarahisar
M02187,45195,,Male,C,25-31,Primary School,YY,kilis
M02188,44895,,Female,F,25-31,Primary School,YY,kocaeli
M02189,44067,,Female,G,32-38,Master's Degree,YY,kütahya
M02190,42834,43426,Female,C,39-45,Bachelor's Degree,YY,çorum
M02191,45511,,Female,B,46-52,Doctorate,PP,kocaeli
M02192,42883,44784,Male,C,32-38,High School,KK,adiyaman
M02193,42902,43687,Female,D,46-52,Primary School,KK,yozgat
M02194,45524,,Male,B,18-24,High School,XX,çanakkale
M02195,44321,44760,Male,C,25-31,Master's Degree,TT,kirþehir
M02196,45591,,Female,C,32-38,Bachelor's Degree,ZZ,karaman
M02197,44653,,Female,A,46-52,Bachelor's Degree,KK,batman
M02198,45644,,Male,C,39-45,Associate Degree,TT,mardin
M02199,43143,,Female,E,52+,Master's Degree,XX,sivas
M02200,43306,43749,Female,B,18-24,Bachelor's Degree,RR,aydin
M02201,42924,45456,Female,C,18-24,Primary School,PP,van
M02202,44413,,Male,D,52+,Bachelor's Degree,PP,malatya
M02203,43239,44399,Male,D,18-24,Primary School,TT,izmir
M02204,43735,,Female,G,39-45,Master's Degree,YY,gümüþhane
M02205,42943,,Female,D,46-52,Primary School,TT,ardahan
M02206,45446,,Male,C,25-31,Master's Degree,YY,tokat
M02207,43286,44519,Male,E,32-38,Associate Degree,YY,diyarbakir
M02208,45163,,Female,B,18-24,Associate Degree,ZZ,bingöl
M02209,45269,,Female,C,18-24,Doctorate,PP,kocaeli
M02210,43999,,Female,F,52+,Bachelor's Degree,PP,batman
M02211,44822,,Female,G,52+,Bachelor's Degree,ZZ,samsun
M02212,43045,45139,Female,A,25-31,High School,YY,zonguldak
M02213,44617,,Male,F,46-52,Primary School,ZZ,manisa
M02214,43258,45624,Male,D,32-38,Primary School,PP,trabzon
M02215,42553,43140,Female,G,39-45,Associate Degree,ZZ,burdur
M02216,42633,44650,Male,A,18-24,Bachelor's Degree,ZZ,bartin
M02217,43925,,Male,D,52+,Bachelor's Degree,KK,afyonkarahisar
M02218,42074,42631,Female,D,32-38,Bachelor's Degree,KK,karabük
M02219,43335,44142,Female,E,18-24,Master's Degree,KK,batman
M02220,44268,44357,Female,A,18-24,Master's Degree,RR,edirne
M02221,43360,43814,Male,F,46-52,Doctorate,XX,nevþehir
M02222,43349,45303,Male,G,46-52,Master's Degree,RR,ardahan
M02223,44960,,Male,B,32-38,Associate Degree,ZZ,antalya
M02224,42318,45203,Male,A,25-31,Associate Degree,TT,tunceli
M02225,45625,,Male,D,18-24,Master's Degree,PP,amasya
M02226,44325,,Female,E,25-31,Doctorate,KK,bitlis
M02227,43333,,Female,A,39-45,Master's Degree,KK,kars
M02228,42780,,Female,E,39-45,Master's Degree,ZZ,düzce
M02229,45305,,Male,A,46-52,Master's Degree,YY,elazið
M02230,43901,,Male,F,52+,Associate Degree,XX,siirt
M02231,42326,42859,Female,C,46-52,Bachelor's Degree,XX,iðdir
M02232,45044,,Male,B,25-31,Doctorate,TT,gümüþhane
M02233,42250,44396,Male,D,39-45,Associate Degree,TT,gümüþhane
M02234,42985,44963,Male,G,46-52,High School,RR,gaziantep
M02235,44206,,Male,A,25-31,Primary School,ZZ,karaman
M02236,42074,43756,Male,F,39-45,Primary School,PP,sivas
M02237,42637,,Male,G,52+,High School,TT,hatay
M02238,43869,,Female,E,32-38,Doctorate,KK,mersin
M02239,44390,,Female,C,39-45,High School,KK,uþak
M02240,44390,,Female,D,18-24,Master's Degree,KK,bayburt
M02241,43847,,Male,D,39-45,Master's Degree,PP,bitlis
M02242,42611,45248,Female,E,25-31,Master's Degree,YY,sakarya
M02243,43207,44825,Female,F,32-38,High School,KK,düzce
M02244,44994,,Female,B,25-31,Associate Degree,YY,mersin
M02245,42085,44012,Female,G,32-38,High School,XX,tokat
M02246,43560,45457,Male,E,25-31,Associate Degree,XX,ordu
M02247,45377,,Male,C,52+,High School,YY,istanbul
M02248,44621,,Male,C,25-31,Associate Degree,XX,samsun
M02249,42088,44173,Male,G,46-52,High School,ZZ,kilis
M02250,42549,44997,Female,B,32-38,High School,XX,zonguldak
M02251,44514,,Female,F,52+,Associate Degree,ZZ,bayburt
M02252,42505,45282,Male,B,32-38,Master's Degree,XX,niðde
M02253,44716,,Female,A,32-38,Master's Degree,YY,kütahya
M02254,44436,45160,Female,G,25-31,Associate Degree,XX,uþak
M02255,43435,44193,Female,D,18-24,Bachelor's Degree,TT,bursa
M02256,44316,,Female,A,52+,Associate Degree,TT,mardin
M02257,42816,43972,Male,A,25-31,Doctorate,KK,diyarbakir
M02258,45513,,Male,A,32-38,Master's Degree,YY,mersin
M02259,44313,44886,Female,D,39-45,Bachelor's Degree,YY,niðde
M02260,44638,,Female,F,18-24,Master's Degree,XX,düzce
M02261,43504,43656,Female,C,52+,High School,XX,afyonkarahisar
M02262,42757,43026,Female,E,32-38,Doctorate,PP,hatay
M02263,42201,42726,Female,A,25-31,Bachelor's Degree,KK,konya
M02264,44307,,Female,E,52+,High School,XX,izmir
M02265,42739,44855,Male,G,46-52,Bachelor's Degree,XX,eskiþehir
M02266,43554,,Male,C,32-38,Doctorate,ZZ,aðri
M02267,44902,,Male,C,25-31,Bachelor's Degree,ZZ,bitlis
M02268,44961,,Male,B,25-31,Master's Degree,TT,samsun
M02269,43100,44612,Female,A,18-24,Master's Degree,PP,izmir
M02270,43234,45259,Male,E,32-38,Doctorate,KK,þanliurfa
M02271,45211,,Female,G,52+,Primary School,YY,kirklareli
M02272,42121,44752,Female,G,32-38,Associate Degree,XX,izmir
M02273,43129,43972,Female,B,46-52,High School,TT,sinop
M02274,42166,42890,Male,B,18-24,Bachelor's Degree,KK,çanakkale
M02275,44516,45436,Female,E,52+,Associate Degree,TT,aksaray
M02276,44551,,Female,D,32-38,Bachelor's Degree,TT,karabük
M02277,43639,44283,Male,G,39-45,Bachelor's Degree,KK,tokat
M02278,43230,44183,Female,F,39-45,Doctorate,RR,van
M02279,42203,45632,Female,B,32-38,Bachelor's Degree,ZZ,manisa
M02280,43902,,Male,D,25-31,Bachelor's Degree,YY,çanakkale
M02281,42478,44468,Male,C,52+,Master's Degree,YY,tekirdað
M02282,45308,,Male,B,39-45,High School,ZZ,kocaeli
M02283,42745,43845,Female,D,39-45,Associate Degree,TT,batman
M02284,45656,,Male,G,39-45,Associate Degree,XX,gümüþhane
M02285,44027,,Male,F,52+,Associate Degree,PP,isparta
M02286,44574,,Female,B,32-38,Doctorate,KK,sinop
M02287,44188,,Female,G,25-31,Master's Degree,PP,bitlis
M02288,43479,44187,Female,E,18-24,Bachelor's Degree,XX,sivas
M02289,42190,42702,Male,F,25-31,Bachelor's Degree,TT,bartin
M02290,45272,,Female,G,32-38,Doctorate,XX,artvin
M02291,43996,,Female,G,32-38,Associate Degree,ZZ,aðri
M02292,42297,43504,Female,A,52+,Master's Degree,XX,kastamonu
M02293,45415,,Male,C,39-45,Bachelor's Degree,XX,denizli
M02294,43231,45655,Male,C,52+,Associate Degree,PP,yalova
M02295,43563,,Female,E,46-52,Primary School,YY,sinop
M02296,42541,42887,Female,A,39-45,High School,KK,bilecik
M02297,42572,44133,Male,A,25-31,High School,YY,zonguldak
M02298,43923,,Female,C,18-24,Primary School,TT,istanbul
M02299,44163,45209,Male,D,52+,Associate Degree,TT,eskiþehir
M02300,43221,44750,Female,F,46-52,Bachelor's Degree,PP,van
M02301,42432,45148,Male,G,39-45,Associate Degree,ZZ,kirikkale
M02302,44906,,Male,G,39-45,High School,KK,amasya
M02303,44049,44596,Male,F,52+,Associate Degree,YY,sinop
M02304,43970,45281,Female,G,46-52,Primary School,RR,gaziantep
M02305,45220,,Female,D,32-38,Master's Degree,TT,düzce
M02306,42729,44432,Female,D,46-52,Associate Degree,RR,bayburt
M02307,42502,44651,Female,F,52+,Doctorate,PP,bilecik
M02308,43772,,Male,B,25-31,Primary School,TT,manisa
M02309,45089,45511,Male,E,39-45,Primary School,RR,aydin
M02310,45405,,Female,G,39-45,Bachelor's Degree,ZZ,þirnak
M02311,42894,,Female,E,39-45,Bachelor's Degree,XX,iðdir
M02312,42139,44192,Female,G,25-31,Primary School,RR,manisa
M02313,45253,,Female,C,52+,Master's Degree,YY,bitlis
M02314,43180,44516,Male,C,52+,Doctorate,ZZ,kütahya
M02315,43512,44236,Male,E,32-38,Associate Degree,TT,kirklareli
M02316,45519,45552,Male,F,39-45,Master's Degree,PP,ordu
M02317,45506,,Male,D,32-38,High School,KK,ankara
M02318,42400,44414,Female,G,52+,Bachelor's Degree,RR,bingöl
M02319,42625,45490,Male,D,39-45,Primary School,RR,çankiri
M02320,44431,45359,Male,F,18-24,Associate Degree,XX,sinop
M02321,42134,43283,Male,A,52+,Master's Degree,RR,bilecik
M02322,42851,43319,Male,D,32-38,Bachelor's Degree,PP,sinop
M02323,44372,,Male,C,25-31,Bachelor's Degree,KK,yozgat
M02324,42239,45619,Female,F,39-45,Associate Degree,RR,burdur
M02325,44572,,Male,G,52+,Primary School,ZZ,kahramanmaraþ
M02326,42280,42916,Male,A,52+,Doctorate,ZZ,tunceli
M02327,43599,,Male,G,52+,High School,ZZ,edirne
M02328,44520,,Female,G,52+,Doctorate,YY,elazið
M02329,44629,,Female,B,52+,Bachelor's Degree,ZZ,siirt
M02330,45531,,Female,F,18-24,Bachelor's Degree,XX,kilis
M02331,43199,44051,Male,C,39-45,High School,ZZ,bitlis
M02332,45511,,Female,C,32-38,High School,TT,isparta
M02333,42338,43650,Male,F,25-31,Primary School,RR,sinop
M02334,44371,,Female,E,52+,Doctorate,RR,elazið
M02335,44227,,Male,E,25-31,Primary School,XX,kirikkale
M02336,43470,,Female,A,39-45,Doctorate,XX,ordu
M02337,45032,,Female,C,52+,Doctorate,YY,bitlis
M02338,45577,,Male,G,46-52,Master's Degree,ZZ,tokat
M02339,45415,,Female,B,52+,Associate Degree,XX,ardahan
M02340,42997,,Male,F,18-24,Primary School,PP,gaziantep
M02341,43032,44424,Female,B,18-24,Doctorate,XX,düzce
M02342,45130,,Female,D,32-38,Doctorate,XX,giresun
M02343,44610,,Male,C,39-45,Bachelor's Degree,TT,aksaray
M02344,45464,,Male,D,32-38,Master's Degree,ZZ,manisa
M02345,42061,42710,Female,D,32-38,High School,PP,niðde
M02346,44607,,Male,A,46-52,Doctorate,RR,batman
M02347,44778,,Male,A,32-38,High School,ZZ,giresun
M02348,45085,,Female,A,18-24,Doctorate,RR,siirt
M02349,42038,42921,Male,E,32-38,High School,YY,ankara
M02350,43019,44695,Male,F,25-31,Bachelor's Degree,TT,malatya
M02351,44006,44930,Female,F,18-24,Primary School,RR,kütahya
M02352,44708,,Female,B,46-52,Associate Degree,PP,rize
M02353,45655,,Male,D,52+,Bachelor's Degree,KK,muþ
M02354,43509,45531,Female,D,46-52,Bachelor's Degree,KK,kirþehir
M02355,44295,45349,Male,D,46-52,Associate Degree,ZZ,bitlis
M02356,43435,43966,Female,A,25-31,Associate Degree,ZZ,siirt
M02357,42120,45301,Male,F,25-31,Doctorate,PP,kocaeli
M02358,44482,,Male,E,25-31,Primary School,RR,antalya
M02359,44443,,Male,C,25-31,Master's Degree,ZZ,batman
M02360,44122,,Male,E,32-38,High School,KK,yozgat
M02361,43013,44964,Female,B,52+,High School,PP,mardin
M02362,44720,,Male,C,46-52,Master's Degree,KK,afyonkarahisar
M02363,44420,45013,Female,B,25-31,Primary School,RR,kahramanmaraþ
M02364,42297,44527,Male,E,18-24,Associate Degree,ZZ,ankara
M02365,42276,44777,Female,D,25-31,High School,TT,düzce
M02366,42086,42914,Male,D,25-31,Master's Degree,RR,kocaeli
M02367,42559,42723,Male,D,52+,Primary School,ZZ,aðri
M02368,44523,,Female,D,25-31,Primary School,ZZ,zonguldak
M02369,43650,,Male,F,32-38,Primary School,XX,bilecik
M02370,42433,44221,Male,C,39-45,Associate Degree,YY,burdur
M02371,43845,44941,Male,G,18-24,Associate Degree,YY,kütahya
M02372,44462,45126,Female,E,25-31,Primary School,RR,bursa
M02373,44159,,Male,E,46-52,Bachelor's Degree,YY,aksaray
M02374,45319,,Female,F,39-45,Primary School,RR,van
M02375,45512,,Male,F,39-45,Associate Degree,KK,nevþehir
M02376,43574,45400,Female,D,32-38,Bachelor's Degree,ZZ,elazið
M02377,44770,,Male,A,25-31,High School,KK,mardin
M02378,42727,,Male,F,18-24,Master's Degree,KK,kilis
M02379,45541,,Female,F,46-52,Master's Degree,RR,bilecik
M02380,44436,,Female,A,46-52,Primary School,KK,aðri
M02381,42314,43769,Male,E,46-52,Master's Degree,RR,zonguldak
M02382,43198,44533,Female,G,18-24,Master's Degree,RR,bitlis
M02383,45171,,Female,D,25-31,Bachelor's Degree,YY,giresun
M02384,42332,44120,Female,E,39-45,Bachelor's Degree,RR,tokat
M02385,43819,,Male,A,32-38,Doctorate,YY,yalova
M02386,43123,45536,Female,G,46-52,Master's Degree,PP,adana
M02387,44690,,Male,D,18-24,Master's Degree,YY,karaman
M02388,45305,,Female,G,46-52,Primary School,TT,kahramanmaraþ
M02389,42983,43700,Male,G,25-31,Master's Degree,ZZ,bursa
M02390,42897,,Female,D,25-31,Primary School,TT,ardahan
M02391,42161,43261,Male,D,46-52,Associate Degree,XX,osmaniye
M02392,42724,44375,Female,C,39-45,Primary School,RR,hakkari
M02393,42994,,Female,E,25-31,Associate Degree,TT,kirikkale
M02394,45362,,Male,A,32-38,Doctorate,ZZ,düzce
M02395,43220,,Female,F,52+,Bachelor's Degree,TT,afyonkarahisar
M02396,42235,44537,Female,B,25-31,Doctorate,YY,tokat
M02397,44704,,Male,B,46-52,Primary School,TT,elazið
M02398,43976,,Male,A,25-31,Doctorate,TT,karaman
M02399,44412,45289,Female,C,52+,Bachelor's Degree,XX,artvin
M02400,45159,,Male,C,32-38,Associate Degree,RR,hakkari
M02401,44920,,Female,F,32-38,Doctorate,PP,bingöl
M02402,42789,45398,Male,B,18-24,Doctorate,KK,isparta
M02403,42632,44312,Male,C,39-45,Bachelor's Degree,KK,düzce
M02404,45520,,Female,B,39-45,Master's Degree,RR,niðde
M02405,45219,,Male,F,25-31,Master's Degree,PP,osmaniye
M02406,43631,,Female,E,25-31,Primary School,TT,giresun
M02407,43470,45164,Female,C,18-24,Associate Degree,TT,bingöl
M02408,42589,43444,Male,D,18-24,Bachelor's Degree,RR,sivas
M02409,42970,45223,Male,D,52+,Bachelor's Degree,RR,adana
M02410,43349,45111,Female,B,52+,Bachelor's Degree,KK,mersin
M02411,44886,,Male,C,25-31,Associate Degree,TT,kars
M02412,42719,44618,Male,A,25-31,Primary School,ZZ,muþ
M02413,43770,44188,Female,F,25-31,Doctorate,KK,çanakkale
M02414,44564,,Female,D,46-52,Primary School,RR,kütahya
M02415,43970,,Female,B,46-52,Associate Degree,KK,þirnak
M02416,42113,42926,Female,F,25-31,Primary School,KK,kirþehir
M02417,44755,45585,Female,A,18-24,Associate Degree,YY,amasya
M02418,42560,42770,Female,E,52+,Primary School,YY,batman
M02419,43556,,Male,G,46-52,Primary School,PP,kocaeli
M02420,44178,,Female,A,32-38,Master's Degree,XX,antalya
M02421,42313,42901,Male,D,46-52,Associate Degree,ZZ,afyonkarahisar
M02422,42139,42443,Female,B,32-38,Doctorate,XX,sinop
M02423,44707,,Female,C,25-31,Associate Degree,TT,bursa
M02424,42186,44996,Male,G,46-52,Doctorate,TT,isparta
M02425,44976,,Female,F,25-31,Associate Degree,KK,afyonkarahisar
M02426,45601,,Male,E,25-31,Doctorate,RR,tokat
M02427,45368,,Female,D,18-24,Bachelor's Degree,XX,ankara
M02428,44503,,Female,B,18-24,High School,ZZ,kirþehir
M02429,44278,,Female,F,52+,Associate Degree,KK,bitlis
M02430,42322,45028,Female,A,39-45,Associate Degree,XX,giresun
M02431,43482,44495,Female,D,52+,Associate Degree,TT,van
M02432,45094,,Male,D,32-38,Master's Degree,XX,bolu
M02433,42746,42914,Female,A,25-31,High School,KK,hatay
M02434,44965,,Female,A,46-52,Primary School,RR,nevþehir
M02435,42789,43287,Male,F,25-31,Associate Degree,ZZ,zonguldak
M02436,43331,,Female,F,52+,Master's Degree,RR,düzce
M02437,44238,,Female,A,25-31,Bachelor's Degree,KK,kütahya
M02438,42184,42607,Male,A,46-52,Bachelor's Degree,PP,elazið
M02439,44193,44834,Male,F,18-24,Bachelor's Degree,RR,niðde
M02440,42575,43772,Male,B,25-31,High School,TT,çankiri
M02441,44850,,Male,A,18-24,Master's Degree,ZZ,bursa
M02442,44083,44645,Female,F,32-38,Associate Degree,ZZ,malatya
M02443,42183,43733,Female,C,46-52,Bachelor's Degree,TT,kirþehir
M02444,44467,,Male,D,39-45,Doctorate,YY,elazið
M02445,44559,,Male,A,39-45,Doctorate,ZZ,çankiri
M02446,43786,,Male,G,46-52,High School,KK,kirþehir
M02447,44251,45614,Male,G,52+,Associate Degree,YY,antalya
M02448,43211,43478,Male,B,39-45,Associate Degree,TT,bartin
M02449,44195,,Male,E,52+,Master's Degree,XX,trabzon
M02450,45290,,Male,A,39-45,High School,YY,kocaeli
M02451,43472,,Male,C,46-52,Bachelor's Degree,ZZ,gaziantep
M02452,45269,,Male,D,46-52,Doctorate,XX,edirne
M02453,42876,44737,Male,F,32-38,Doctorate,TT,nevþehir
M02454,45181,,Female,F,46-52,Bachelor's Degree,TT,malatya
M02455,42601,44633,Female,F,25-31,Associate Degree,ZZ,elazið
M02456,43205,44147,Male,F,52+,Master's Degree,PP,denizli
M02457,44009,45108,Male,A,46-52,High School,TT,artvin
M02458,43565,,Female,F,46-52,Associate Degree,KK,adana
M02459,44427,,Female,F,18-24,Master's Degree,ZZ,bayburt
M02460,44174,45405,Male,B,46-52,Associate Degree,YY,erzurum
M02461,42778,,Male,A,52+,Primary School,PP,erzurum
M02462,43935,45586,Female,F,52+,Primary School,XX,edirne
M02463,45554,,Female,E,18-24,Associate Degree,TT,aksaray
M02464,43306,,Male,F,32-38,Primary School,ZZ,amasya
M02465,42590,43463,Male,A,46-52,High School,TT,isparta
M02466,42875,43456,Female,A,18-24,Bachelor's Degree,YY,hakkari
M02467,43041,,Male,A,25-31,High School,XX,konya
M02468,43281,45375,Female,B,32-38,Bachelor's Degree,KK,muðla
M02469,45358,,Male,G,46-52,Bachelor's Degree,KK,adiyaman
M02470,43334,44896,Male,C,46-52,Associate Degree,PP,mersin
M02471,45015,,Male,E,18-24,Associate Degree,YY,eskiþehir
M02472,43345,44060,Female,E,39-45,Associate Degree,PP,balikesir
M02473,42627,44547,Male,G,52+,Bachelor's Degree,PP,tokat
M02474,44910,,Female,C,18-24,Associate Degree,KK,kars
M02475,42807,43139,Female,B,25-31,High School,KK,edirne
M02476,44129,,Female,E,32-38,Primary School,YY,sinop
M02477,44794,,Male,E,39-45,High School,XX,osmaniye
M02478,44145,,Male,E,18-24,High School,PP,elazið
M02479,44695,,Male,G,18-24,Primary School,YY,bursa
M02480,42063,45520,Female,E,39-45,High School,PP,batman
M02481,44156,,Female,A,52+,Primary School,TT,afyonkarahisar
M02482,44169,,Female,B,18-24,Primary School,PP,artvin
M02483,42721,43673,Female,G,46-52,Doctorate,XX,ardahan
M02484,43222,45167,Male,E,52+,Bachelor's Degree,KK,siirt
M02485,44310,,Female,E,25-31,High School,ZZ,erzincan
M02486,42882,45385,Female,F,39-45,Doctorate,TT,elazið
M02487,45001,,Male,A,52+,Bachelor's Degree,KK,sivas
M02488,45328,,Male,C,46-52,Associate Degree,PP,gaziantep
M02489,45506,,Male,G,39-45,Primary School,RR,gaziantep
M02490,44809,45634,Female,F,46-52,High School,RR,afyonkarahisar
M02491,42483,42912,Female,E,18-24,Doctorate,YY,bartin
M02492,44170,,Male,G,52+,Doctorate,ZZ,sivas
M02493,43779,,Male,C,32-38,Associate Degree,PP,isparta
M02494,43790,,Male,A,25-31,Primary School,KK,ardahan
M02495,44972,,Male,B,46-52,Master's Degree,RR,bilecik
M02496,42088,44040,Male,F,18-24,Associate Degree,XX,bartin
M02497,43014,43133,Female,F,32-38,Doctorate,RR,tokat
M02498,45154,,Male,F,25-31,Doctorate,PP,kirþehir
M02499,42921,43176,Female,A,46-52,Bachelor's Degree,ZZ,iðdir
M02500,44415,,Female,D,52+,Bachelor's Degree,YY,adiyaman
M02501,45176,,Female,D,52+,High School,ZZ,kilis
M02502,43435,45552,Female,F,25-31,Doctorate,RR,nevþehir
M02503,44577,,Male,D,18-24,Bachelor's Degree,PP,eskiþehir
M02504,44112,,Male,D,52+,Master's Degree,KK,aydin
M02505,42764,45140,Male,B,39-45,Master's Degree,YY,konya
